"LipidClass"	"N.A01.r001"	"N.A01.r002"	"N.A01.r003"	"N.A02.r001"	"N.A02.r002"	"N.A02.r003"	"N.A03.r001"	"N.A03.r002"	"N.A03.r003"	"N.A04.r001"	"N.A04.r002"	"N.A04.r003"	"N.A05.r001"	"N.A05.r002"	"N.A05.r003"	"N.A06.r001"	"N.A06.r002"	"N.A06.r003"	"N.A07.r001"	"N.A07.r002"	"N.A07.r003"	"N.A08.r001"	"N.A08.r002"	"N.A08.r003"	"N.A09.r001"	"N.A09.r002"	"N.A09.r003"	"N.A10.r001"	"N.A10.r002"	"N.A10.r003"	"N.HD.ARP.r001"	"N.HD.ARP.r002"	"N.HD.ARP.r003"	"N.HD.CUR.r001"	"N.HD.CUR.r002"	"N.HD.CUR.r003"	"N.HD01.r001"	"N.HD01.r002"	"N.HD01.r003"	"N.HD03.r001"	"N.HD03.r002"	"N.HD03.r003"	"N.HD04.r001"	"N.HD04.r002"	"N.HD04.r003"	"N.HD05.r001"	"N.HD05.r002"	"N.HD05.r003"	"N.HD15.r001"	"N.HD15.r002"	"N.HD15.r003"	"N.HD19.r001"	"N.HD19.r002"	"N.HD19.r003"	"N.HD21.r001"	"N.HD21.r002"	"N.HD21.r003"	"N.HD23.r001"	"N.HD23.r002"	"N.HD23.r003"	"N.HD24.r001"	"N.HD24.r002"	"N.HD24.r003"	"N.N01.r001"	"N.N01.r002"	"N.N01.r003"	"N.N02.r001"	"N.N02.r002"	"N.N02.r003"	"N.N03.r001"	"N.N03.r002"	"N.N03.r003"	"N.N04.r001"	"N.N04.r002"	"N.N04.r003"	"N.N05.r001"	"N.N05.r002"	"N.N05.r003"
"label"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"
"LPC"	"788.0764"	"807.8763"	"798.9818"	"896.4027"	"888.3308"	"904.3692"	"809.7708"	"812.9333"	"824.8703"	"787.4385"	"804.8527"	"815.6023"	"711.0282"	"760.7827"	"722.3598"	"694.5006"	"709.3751"	"699.8033"	"794.6198"	"802.0741"	"796.1959"	"655.8503"	"667.9524"	"666.8136"	"971.9115"	"993.1331"	"967.1466"	"823.9833"	"847.0896"	"907.9462"	"987.9822"	"999.229"	"1068.4999"	"1514.9027"	"1557.6455"	"1583.3034"	"1270.8619"	"1289.5"	"1282.3033"	"1306.181"	"1398.7865"	"1320.91"	"744.5073"	"760.1495"	"785.6598"	"1059.7675"	"1090.3855"	"1052.8052"	"1300.2163"	"1293.3539"	"1316.5204"	"941.4423"	"946.5901"	"952.5353"	"1115.6517"	"1121.6871"	"1130.4762"	"1131.6232"	"1180.7538"	"1147.1888"	"962.065"	"987.2997"	"988.6608"	"1100.9212"	"1126.2052"	"1131.0898"	"487.7735"	"518.0698"	"531.4302"	"674.2468"	"693.9352"	"689.1557"	"1320.3703"	"1364.6914"	"1330.5538"	"982.7224"	"993.1472"	"1005.6723"
"LPC-O"	"7.9683"	"8.3185"	"8.2375"	"10.2375"	"10.2785"	"10.6395"	"9.0736"	"9.0365"	"9.2003"	"8.1419"	"8.4328"	"8.865"	"8.0493"	"8.047"	"8.2992"	"7.8682"	"8.6068"	"8.231"	"10.1163"	"10.0821"	"10.3656"	"8.7511"	"9.4404"	"9.4413"	"10.0628"	"10.3211"	"10.6188"	"10.0015"	"9.9775"	"10.2371"	"10.4682"	"10.813"	"11.2676"	"13.3172"	"13.8268"	"14.476"	"11.7576"	"12.2639"	"12.8402"	"12.348"	"12.5277"	"13.4728"	"9.3279"	"9.721"	"10.0664"	"9.1068"	"9.3637"	"9.3803"	"12.9642"	"13.1633"	"13.6462"	"10.8817"	"11.2032"	"11.9394"	"16.0973"	"15.1934"	"15.6899"	"15.1489"	"16.2762"	"15.8635"	"16.5756"	"18.66"	"17.5555"	"11.517"	"12.253"	"12.9542"	"7.6257"	"8.4194"	"8.3543"	"8.6746"	"9.4348"	"9.1416"	"12.6517"	"13.2612"	"13.4904"	"10.2741"	"10.6558"	"11.4965"
"LPE"	"4.5385"	"4.5492"	"4.411"	"3.494"	"3.3751"	"3.5537"	"4.4149"	"4.1481"	"4.0042"	"3.2813"	"3.4437"	"3.5592"	"3.5487"	"3.5027"	"3.8696"	"3.5501"	"3.7946"	"3.7128"	"2.2376"	"2.184"	"2.3379"	"2.2629"	"2.4506"	"2.1644"	"4.0379"	"4.148"	"4.2617"	"3.7499"	"3.7622"	"3.6581"	"2.2624"	"2.4247"	"2.5285"	"3.6719"	"3.5152"	"3.762"	"4.6387"	"4.9902"	"4.8126"	"3.9607"	"4.2126"	"3.8981"	"2.6894"	"2.6696"	"2.6727"	"4.4466"	"4.465"	"4.4211"	"3.6293"	"3.5558"	"3.6658"	"2.6639"	"2.9474"	"3.1099"	"2.5365"	"2.5197"	"2.6085"	"2.8053"	"2.8078"	"2.6471"	"1.589"	"1.663"	"2.5299"	"4.9995"	"4.8827"	"4.9151"	"2.1792"	"2.3537"	"2.4209"	"2.7036"	"2.5266"	"2.725"	"5.9721"	"6.072"	"6.3449"	"3.8829"	"4.0071"	"3.6987"
"MG"	"6.8216"	"6.5153"	"6.5301"	"5.2479"	"5.9483"	"6.0196"	"5.3337"	"5.1182"	"8.5625"	"5.9378"	"6.6149"	"10.3123"	"5.349"	"5.7828"	"5.4446"	"5.252"	"8.0833"	"9.239"	"3.898"	"4.1066"	"7.2109"	"7.6329"	"8.5557"	"8.1425"	"7.0795"	"7.6065"	"7.0492"	"7.9237"	"8.7082"	"8.4479"	"3.0509"	"5.0998"	"5.0096"	"5.2574"	"5.4825"	"5.7651"	"5.1141"	"5.2237"	"9.7895"	"7.2891"	"14.1234"	"11.7683"	"6.2523"	"6.9427"	"6.8473"	"6.373"	"6.2265"	"10.2661"	"5.6977"	"5.7494"	"9.0469"	"6.9282"	"8.2643"	"7.5366"	"6.2678"	"6.3087"	"6.6369"	"3.7918"	"3.6422"	"3.9822"	"1.0475"	"1.2628"	"1.366"	"5.9113"	"6.1066"	"6.0816"	"7.8404"	"9.2022"	"8.1129"	"7.2401"	"7.2093"	"6.695"	"6.3508"	"6.9143"	"6.7678"	"7.1022"	"8.427"	"8.6959"
"MMPE"	"8.067"	"6.899"	"7.195"	"7.056"	"6.858"	"6.508"	"10.486"	"10.925"	"7.384"	"11.061"	"11.932"	"12.135"	"7.583"	"8.306"	"8.868"	"4.612"	"5.031"	"4.763"	"6.928"	"6.914"	"6.604"	"7.011"	"6.717"	"6.695"	"6.166"	"6.05"	"5.539"	"8.237"	"7.807"	"7.698"	"8.103"	"8.259"	"8.567"	"12.805"	"61.65"	"11.697"	"15.712"	"12.037"	"12.46"	"11.979"	"11.975"	"12.879"	"10.865"	"10.777"	"10.132"	"7.32"	"7.201"	"7.535"	"13.666"	"13.429"	"12.959"	"6.463"	"6.04"	"6.355"	"5.977"	"5.876"	"5.829"	"5.753"	"5.663"	"5.648"	"5.576"	"4.818"	"5.052"	"7.515"	"7.265"	"7.286"	"3.835"	"2.76"	"3.579"	"2.74"	"2.721"	"5.892"	"5.785"	"5.344"	"4.538"	"13.833"	"12.864"	"12.664"
"NAE"	"343.0787"	"393.863"	"374.9221"	"340.1893"	"370.2324"	"403.9582"	"279.2452"	"306.7391"	"357.5469"	"348.2476"	"413.7906"	"437.2135"	"324.0364"	"386.0841"	"529.8734"	"279.1446"	"334.6492"	"355.5501"	"237.3021"	"300.3722"	"306.7057"	"275.2551"	"346.3664"	"397.1237"	"302.3249"	"336.5231"	"390.8426"	"244.4608"	"315.1105"	"399.4457"	"354.3847"	"354.7595"	"388.766"	"315.6773"	"332.9711"	"354.0465"	"371.1064"	"405.5074"	"405.5625"	"261.151"	"298.4911"	"312.4943"	"282.9375"	"317.0726"	"372.4112"	"235.197"	"295.6651"	"304.7364"	"401.1188"	"441.0778"	"470.4946"	"440.8591"	"531.1626"	"532.6565"	"235.8818"	"293.2107"	"287.5622"	"269.3638"	"306.8148"	"303.7865"	"869.6892"	"880.1012"	"1103.7605"	"211.6783"	"268.4394"	"256.4605"	"413.8059"	"463.1101"	"519.7715"	"414.3372"	"507.5517"	"501.8327"	"299.7366"	"325.1394"	"362.2748"	"306.5631"	"359.8484"	"442.2116"
"NAOrn"	"29.3241"	"29.8474"	"29.4839"	"11.0557"	"12.7081"	"20.2326"	"15.3542"	"15.9285"	"16.8964"	"22.3294"	"25.4703"	"25.5645"	"17.1581"	"18.7267"	"19.8241"	"22.9974"	"23.5187"	"23.7204"	"15.3616"	"16.5948"	"16.9775"	"16.3309"	"17.8399"	"17.7291"	"18.2339"	"19.9214"	"19.6613"	"16.8461"	"18.4203"	"18.3792"	"14.3059"	"13.9459"	"15.7599"	"20.1209"	"21.2861"	"19.6852"	"10.8794"	"11.5559"	"11.7845"	"13.5733"	"15.2046"	"15.0808"	"14.1158"	"15.3583"	"15.6648"	"33.2645"	"34.876"	"34.5352"	"15.2773"	"15.9463"	"17.1034"	"14.7538"	"15.2594"	"16.0567"	"11.5104"	"12.4663"	"12.9582"	"16.0904"	"16.8906"	"17.2169"	"15.1075"	"15.8008"	"17.9364"	"13.8395"	"15.6229"	"15.7886"	"18.6427"	"21.5429"	"21.785"	"18.4514"	"19.6585"	"20.8695"	"15.607"	"16.9243"	"16.7749"	"14.9696"	"15.8298"	"16.4278"
"PA"	"121.413"	"130.238"	"126.542"	"78.548"	"83.463"	"78.226"	"115.123"	"93.406"	"93.877"	"121.781"	"135.431"	"144.403"	"48.876"	"59.214"	"61.19"	"79.189"	"77.066"	"77.513"	"158.451"	"151.417"	"153.064"	"119.832"	"119.713"	"122.773"	"243.492"	"246.29"	"255.742"	"93.736"	"93.909"	"90.932"	"37.185"	"38.941"	"33.499"	"51.587"	"45.116"	"49.805"	"97.946"	"77.61"	"84.706"	"42.746"	"32.64"	"24.632"	"41.926"	"40.657"	"38.94"	"74.349"	"71.404"	"76.238"	"109.12"	"97.929"	"96.409"	"26.822"	"26.634"	"27.35"	"26.372"	"25.066"	"24.541"	"27.01"	"26.535"	"28.69"	"20.292"	"23.205"	"18.561"	"130.771"	"131.205"	"130.152"	"71.225"	"79.755"	"76.839"	"55.668"	"60.592"	"67.632"	"114.427"	"118.417"	"113.803"	"93.929"	"86.17"	"90.322"
"PC"	"950.688"	"941.641"	"962.416"	"809.654"	"802.514"	"826.642"	"865.738"	"732.081"	"714.384"	"1315.524"	"1277.471"	"1268.773"	"1085.696"	"1100.239"	"1077.046"	"781.736"	"787.417"	"785.904"	"1077.001"	"1076.262"	"1079.537"	"982.122"	"1012.99"	"1017.445"	"1214.414"	"1220.277"	"1211.205"	"1106.817"	"1146.489"	"1129.133"	"908.994"	"875.189"	"1025.555"	"965.707"	"1053.655"	"1106.991"	"1555.739"	"1576.161"	"1557.821"	"1315.185"	"1301.042"	"1293.145"	"1036.998"	"1037.548"	"1067.248"	"989.498"	"988.609"	"966.202"	"1559.706"	"1543.405"	"1536.49"	"1145.495"	"1155.608"	"1116.624"	"1215.068"	"1224.862"	"1219.784"	"1305.68"	"1250.357"	"1270.764"	"1025.707"	"973.125"	"1005.554"	"1316.623"	"1327.285"	"1308.571"	"806.835"	"710.377"	"871.057"	"781.869"	"786.52"	"815.446"	"1281.578"	"1135.781"	"1039.147"	"1134.945"	"1142.507"	"1183.383"
"PC-O"	"68.187"	"74.647"	"72.812"	"118.61"	"115.033"	"119.538"	"82.22"	"67.889"	"76.766"	"100.42"	"100.903"	"103.605"	"112.045"	"112.447"	"110.876"	"95.274"	"94.449"	"96.331"	"180.875"	"185.568"	"184.126"	"148.586"	"152.994"	"152.521"	"108.231"	"107.612"	"105.941"	"132.985"	"131.661"	"129.573"	"130.543"	"126.272"	"131.212"	"157.947"	"139.756"	"157.266"	"213.344"	"213.155"	"209.846"	"179.946"	"184.448"	"187.89"	"127.997"	"128.985"	"134.904"	"106.022"	"119.825"	"106.013"	"321.301"	"317.139"	"318.492"	"135.484"	"135.237"	"137.511"	"213.871"	"202.264"	"215.713"	"211.772"	"210.992"	"211.945"	"160.312"	"163.138"	"169.857"	"217.951"	"218.078"	"218.893"	"105.072"	"91.622"	"105.788"	"86.736"	"89.513"	"89.488"	"257.107"	"247.822"	"238.717"	"155.96"	"156.403"	"156.284"
"PE"	"114.132"	"139.941"	"110.427"	"52.504"	"51.686"	"64.635"	"95.356"	"43.97"	"46.962"	"96.913"	"95.307"	"95.734"	"123.503"	"118.542"	"119.311"	"61.01"	"65.403"	"60.51"	"48.939"	"51.235"	"49.715"	"68.882"	"67.092"	"66.689"	"116.467"	"117.008"	"104.888"	"85.39"	"85.053"	"85.142"	"31.472"	"43.697"	"44.51"	"42.49"	"183.958"	"66.495"	"167.128"	"154.581"	"150.001"	"76.872"	"76.238"	"79.644"	"63.335"	"66.059"	"66.428"	"65.553"	"67.17"	"69.916"	"83.526"	"82.407"	"80.189"	"44.611"	"42.769"	"45.694"	"31.384"	"32.791"	"32.128"	"29.404"	"29.321"	"30.341"	"15.304"	"15.093"	"16.523"	"71.919"	"72.056"	"70.627"	"42.185"	"37.097"	"43.145"	"36.074"	"34.298"	"86.861"	"73.214"	"71.464"	"69.257"	"121.24"	"117.025"	"115.178"
