"LipidClass"	"N.A01.r001"	"N.A01.r002"	"N.A01.r003"	"N.A02.r001"	"N.A02.r002"	"N.A02.r003"	"N.A03.r001"	"N.A03.r002"	"N.A03.r003"	"N.A04.r001"	"N.A04.r002"	"N.A04.r003"	"N.A05.r001"	"N.A05.r002"	"N.A05.r003"	"N.A06.r001"	"N.A06.r002"	"N.A06.r003"	"N.A07.r001"	"N.A07.r002"	"N.A07.r003"	"N.A08.r001"	"N.A08.r002"	"N.A08.r003"	"N.A09.r001"	"N.A09.r002"	"N.A09.r003"	"N.A10.r001"	"N.A10.r002"	"N.A10.r003"	"N.HD.ARP.r001"	"N.HD.ARP.r002"	"N.HD.ARP.r003"	"N.HD.CUR.r001"	"N.HD.CUR.r002"	"N.HD.CUR.r003"	"N.HD01.r001"	"N.HD01.r002"	"N.HD01.r003"	"N.HD03.r001"	"N.HD03.r002"	"N.HD03.r003"	"N.HD04.r001"	"N.HD04.r002"	"N.HD04.r003"	"N.HD05.r001"	"N.HD05.r002"	"N.HD05.r003"	"N.HD15.r001"	"N.HD15.r002"	"N.HD15.r003"	"N.HD19.r001"	"N.HD19.r002"	"N.HD19.r003"	"N.HD21.r001"	"N.HD21.r002"	"N.HD21.r003"	"N.HD23.r001"	"N.HD23.r002"	"N.HD23.r003"	"N.HD24.r001"	"N.HD24.r002"	"N.HD24.r003"	"N.N01.r001"	"N.N01.r002"	"N.N01.r003"	"N.N02.r001"	"N.N02.r002"	"N.N02.r003"	"N.N03.r001"	"N.N03.r002"	"N.N03.r003"	"N.N04.r001"	"N.N04.r002"	"N.N04.r003"	"N.N05.r001"	"N.N05.r002"	"N.N05.r003"
"label"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"
"PE-O"	"32.664"	"32.399"	"33.113"	"27.84"	"32.591"	"37.848"	"34.011"	"33.667"	"32.27"	"54.389"	"54.03"	"61.453"	"37.549"	"39.432"	"40.016"	"36.177"	"38.616"	"35.701"	"43.985"	"45.636"	"44.371"	"32.518"	"31.774"	"31.412"	"32.338"	"33.64"	"27.737"	"34.377"	"37.103"	"34.652"	"74.88"	"70.695"	"80.909"	"65.95"	"312.504"	"61.375"	"116.513"	"108.892"	"103.789"	"79.355"	"79.616"	"84.65"	"67.091"	"68.392"	"68.821"	"45.714"	"47.717"	"48.432"	"96.427"	"95.544"	"92.631"	"45.38"	"43.819"	"45.63"	"40.527"	"41.72"	"40.821"	"37.281"	"36.939"	"37.499"	"38.868"	"33.928"	"37.098"	"33.348"	"33.255"	"32.888"	"23.898"	"22.254"	"25.588"	"24.588"	"24.515"	"31.51"	"42.633"	"41.43"	"42.025"	"70.117"	"64.631"	"63.939"
"PEtOH"	"30.785"	"30.598"	"33.148"	"22.615"	"25.021"	"22.715"	"24.597"	"28.021"	"29.139"	"66.549"	"73.984"	"74.662"	"43.656"	"42.387"	"41.745"	"32.995"	"36.34"	"34.594"	"22.348"	"24.298"	"29.182"	"26.241"	"26.005"	"25.843"	"54.968"	"54.837"	"47.774"	"25.24"	"24.875"	"25.253"	"19.462"	"16.03"	"19.089"	"19.813"	"86.952"	"21.854"	"72.823"	"56.795"	"55.104"	"41.667"	"36.375"	"38.408"	"19.444"	"21.717"	"19.172"	"25.916"	"26.818"	"27.615"	"39.523"	"38.114"	"35.926"	"15.427"	"14.871"	"15.619"	"16.56"	"18.657"	"17.397"	"18.166"	"18.436"	"18.6"	"25.231"	"21.949"	"9.616"	"42.086"	"42.247"	"41.813"	"21.325"	"17.829"	"20.902"	"16.997"	"18.806"	"50.217"	"28.687"	"30.173"	"26.402"	"53.387"	"52.848"	"50.54"
"PG"	"360.264"	"312.536"	"297.31"	"341.011"	"328.772"	"309.315"	"350.162"	"340.276"	"376.989"	"224.886"	"252.016"	"229.193"	"230.158"	"240.339"	"225.73"	"306.534"	"284.493"	"296.186"	"213.546"	"230.862"	"214.57"	"238.995"	"317.7"	"266.501"	"272.667"	"257.28"	"283.044"	"188.851"	"200.832"	"311.478"	"456.223"	"428.41"	"358.012"	"355.186"	"361.686"	"358.536"	"217.833"	"199.714"	"214.266"	"241.904"	"227.738"	"231.643"	"251.805"	"235.952"	"230.993"	"289.296"	"344.322"	"288.146"	"199.188"	"194.783"	"183.91"	"253.903"	"202.819"	"218.457"	"196.703"	"172.021"	"174.019"	"208.629"	"187.605"	"171.362"	"190.025"	"195.075"	"207.232"	"166.054"	"165.557"	"164.519"	"244.995"	"249.503"	"222.036"	"319.67"	"280.687"	"208.996"	"173.892"	"197.311"	"226.734"	"335.722"	"331.394"	"341.638"
"PG-O"	"191.271"	"192.536"	"188.197"	"164.587"	"168.943"	"147.055"	"133.029"	"119.203"	"119.94"	"146.559"	"148.933"	"131.802"	"101.268"	"109.074"	"102.463"	"126.477"	"86.219"	"60.443"	"99.53"	"96.142"	"95.444"	"148.587"	"149.882"	"161.982"	"141.029"	"139.012"	"147.537"	"117.915"	"119.983"	"189.001"	"94.278"	"99.973"	"91.548"	"128.652"	"130.289"	"145.735"	"95.457"	"99.173"	"108.917"	"98.29"	"111.666"	"112.874"	"131.432"	"123.112"	"117.968"	"85.157"	"131.669"	"113.091"	"69.55"	"68.25"	"63.491"	"99.656"	"87.03"	"61.305"	"86.841"	"84.82"	"85.501"	"98.605"	"88.078"	"85.791"	"110.379"	"108.982"	"105.667"	"106.261"	"97.099"	"105.56"	"166.522"	"201.164"	"165.855"	"195.555"	"219.428"	"167.891"	"110.953"	"133.079"	"146.913"	"139.502"	"180.446"	"181.312"
"PI"	"22.426"	"22.888"	"23.181"	"17.45"	"17.614"	"19.393"	"21.285"	"20.401"	"20.841"	"25.651"	"26.508"	"25.807"	"15.87"	"16.136"	"16.57"	"10.549"	"10.257"	"10.418"	"21.067"	"19.341"	"19.348"	"21.657"	"21.806"	"22.083"	"18.403"	"19.228"	"18.858"	"21.314"	"21.755"	"21.555"	"17.312"	"16.756"	"16.561"	"29.763"	"30.735"	"29.941"	"34.48"	"35.436"	"34.888"	"27.513"	"27.471"	"27.9"	"27.758"	"27.437"	"27.972"	"20.622"	"21.117"	"20.996"	"29.568"	"31.084"	"30.561"	"25.613"	"25.635"	"25.167"	"27.973"	"27.308"	"27.114"	"27.686"	"28.481"	"28.509"	"23.104"	"23.19"	"24.026"	"22.069"	"22.479"	"22.322"	"14.807"	"15.169"	"14.92"	"17.913"	"18.329"	"17.223"	"28.916"	"29.696"	"29.182"	"26.854"	"27.656"	"26.865"
"PI-O"	"0.413"	"0.39"	"0.401"	"0.228"	"0.243"	"0.289"	"0.313"	"0.3"	"0.297"	"0.28"	"0.798"	"0.766"	"0.224"	"0.214"	"0.226"	"0.217"	"0.222"	"0.206"	"0.263"	"0.226"	"0.281"	"0.25"	"0.289"	"0.303"	"0.281"	"0.307"	"0.252"	"0.28"	"0.295"	"0.288"	"0.249"	"0.26"	"0.252"	"0.367"	"0.367"	"0.356"	"0.319"	"0.492"	"0.482"	"0.466"	"0.317"	"0.364"	"0.37"	"0.345"	"0.355"	"0.287"	"0.299"	"0.307"	"0.334"	"0.347"	"0.352"	"0.306"	"0.307"	"0.24"	"0.267"	"0.238"	"0.246"	"0.26"	"0.289"	"0.276"	"0.333"	"0.252"	"0.27"	"0.249"	"0.246"	"0.233"	"0.189"	"0.233"	"0.233"	"0.204"	"0.25"	"0.233"	"0.319"	"0.325"	"0.312"	"0.26"	"0.254"	"0.259"
"PMeOH"	"16.167"	"16.061"	"15.231"	"11.592"	"11.46"	"11.921"	"13.021"	"11.137"	"10.3"	"18.317"	"14.451"	"15.733"	"18.894"	"15.998"	"15.9"	"19.786"	"19.258"	"19.684"	"15.043"	"15.792"	"15.556"	"15.511"	"15.351"	"16.084"	"27.547"	"26.394"	"24.94"	"18.713"	"22.579"	"18.626"	"16.34"	"12.302"	"12.38"	"13.241"	"11.846"	"11.166"	"13.357"	"13.131"	"13.05"	"12.53"	"12.023"	"12.115"	"10.679"	"10.645"	"10.924"	"12.46"	"12.302"	"12.375"	"12.108"	"12.361"	"12.549"	"9.678"	"9.149"	"8.522"	"10.061"	"12.239"	"9.491"	"14.548"	"11.025"	"11.662"	"9.87"	"11.377"	"12.41"	"30.057"	"29.739"	"35.201"	"17.613"	"17.832"	"20.327"	"16.662"	"17.836"	"18.873"	"16.551"	"16.458"	"16.289"	"13.991"	"13.52"	"13.9"
"PS"	"7.665"	"3.869"	"8.389"	"1.612"	"4.202"	"1.571"	"2.156"	"2.218"	"2.072"	"3.891"	"3.978"	"4.164"	"5.771"	"6.014"	"2.628"	"1.885"	"4.449"	"4.19"	"3.016"	"3.156"	"3.096"	"4.862"	"4.427"	"4.721"	"6.371"	"6.118"	"5.934"	"4.941"	"5.012"	"5.058"	"3.415"	"3.565"	"3.37"	"1.921"	"1.576"	"4.04"	"2.893"	"5.229"	"4.936"	"3.384"	"3.292"	"3.362"	"3.538"	"3.744"	"3.695"	"4.36"	"4.23"	"4.601"	"3.133"	"3.127"	"3.134"	"2.824"	"2.726"	"2.724"	"1.866"	"1.291"	"1.744"	"2.071"	"1.304"	"2.033"	"1.427"	"1.389"	"1.343"	"4.452"	"4.488"	"4.725"	"4.228"	"4.215"	"4.394"	"4.425"	"4.272"	"5.831"	"4.227"	"4.061"	"3.927"	"5.277"	"5.006"	"5.151"
"PS-O"	"0.304"	"0.288"	"0.303"	"0.478"	"0.419"	"0.426"	"0.169"	"0.189"	"0.316"	"0.397"	"0.405"	"0.427"	"0.237"	"0.255"	"0.251"	"0.202"	"0.213"	"0.175"	"0.297"	"0.287"	"0.307"	"0.296"	"0.295"	"0.304"	"0.182"	"0.185"	"0.181"	"0.417"	"0.414"	"0.426"	"0.381"	"0.413"	"0.398"	"0.555"	"0.555"	"0.192"	"0.111"	"0.434"	"0.441"	"0.19"	"0.204"	"0.469"	"0.268"	"0.347"	"0.322"	"0.309"	"0.187"	"0.199"	"0.679"	"0.193"	"0.617"	"0.262"	"0.256"	"0.265"	"0.482"	"0.451"	"0.404"	"0.421"	"0.44"	"0.496"	"0.36"	"0.343"	"0.325"	"0.422"	"0.439"	"0.445"	"0.203"	"0.191"	"0.182"	"1.03"	"0.196"	"0.19"	"0.425"	"0.402"	"0.455"	"0.449"	"0.413"	"0.411"
"SM"	"193.778"	"195.848"	"202.514"	"244.385"	"237.177"	"244.96"	"285.608"	"261.786"	"262.982"	"229.634"	"231.316"	"235.077"	"187.135"	"194.91"	"198.125"	"168.492"	"166.225"	"161.492"	"287.324"	"281.845"	"302.26"	"203.466"	"207.218"	"217.093"	"214.682"	"215.01"	"212.345"	"257.419"	"254.637"	"253.566"	"446.455"	"453.195"	"446.213"	"475.946"	"449.07"	"474.236"	"357.86"	"357.614"	"362.964"	"381.536"	"400.706"	"403.868"	"306.246"	"299.463"	"304.122"	"298.552"	"302.82"	"307.293"	"537.621"	"533.522"	"529.748"	"297.149"	"294.786"	"297.243"	"376.417"	"382.365"	"377.97"	"385.793"	"386.824"	"402.809"	"326.28"	"343.581"	"347.735"	"333.156"	"340.277"	"327.809"	"180.837"	"194.139"	"186.728"	"149.629"	"155.677"	"149.97"	"353.913"	"354.802"	"349.231"	"382.169"	"383.883"	"388.592"
"SMGDG-O"	"1.821"	"1.729"	"1.698"	"0.93"	"0.898"	"0.904"	"0.546"	"0.563"	"0.534"	"0.696"	"0.736"	"0.696"	"0.885"	"0.67"	"0.672"	"0.425"	"0.93"	"0.878"	"1.232"	"1.215"	"1.203"	"0.692"	"0.715"	"0.683"	"1.209"	"1.255"	"1.197"	"0.763"	"0.774"	"0.639"	"0.725"	"0.729"	"0.695"	"1.233"	"1.467"	"1.531"	"1.258"	"1.289"	"1.289"	"1.117"	"1.146"	"1.173"	"0.638"	"0.7"	"1.2"	"0.647"	"0.705"	"0.68"	"0.933"	"1.141"	"1.168"	"0.896"	"0.917"	"0.874"	"1.968"	"1.978"	"1.939"	"1.984"	"2.03"	"2.05"	"1.091"	"1.196"	"1.214"	"1.191"	"1.243"	"1.173"	"1.021"	"1.111"	"0.77"	"0.981"	"1.004"	"0.681"	"1.639"	"1.648"	"1.589"	"1.04"	"1.127"	"1.061"
"TG"	"5156.6297"	"5035.4557"	"5201.3332"	"1422.4256"	"1408.3135"	"1519.4733"	"2170.0874"	"2392.2222"	"2316.2431"	"4227.5543"	"4341.9472"	"4538.5833"	"3865.973"	"3843.6561"	"3876.9487"	"1173.1988"	"1254.9538"	"1252.121"	"3000.0437"	"3040.8295"	"3127.5404"	"3108.7187"	"3523.5544"	"3472.0461"	"4333.398"	"4642.4195"	"4767.3131"	"2658.9033"	"2610.9994"	"2537.9572"	"1367.6556"	"1450.6732"	"1409.2422"	"3868.5757"	"4152.8734"	"4352.5692"	"5753.6177"	"6089.9442"	"6289.5971"	"2082.668"	"2145.321"	"2274.155"	"2972.6435"	"3405.3813"	"3376.2447"	"4036.0531"	"4088.4818"	"4287.0999"	"4326.5351"	"4365.7922"	"4658.0728"	"6075.0069"	"6156.5622"	"6174.9052"	"2033.3898"	"2038.9767"	"2128.7033"	"2015.3099"	"2129.9025"	"2064.5352"	"2711.0608"	"2917.1841"	"2903.755"	"4749.1401"	"5469.9002"	"5493.6211"	"3114.2448"	"3168.2901"	"3153.0017"	"2909.6378"	"2949.7356"	"3015.2117"	"3554.2932"	"3694.7559"	"3895.9528"	"3184.7571"	"3291.0289"	"3212.981"
