Metabolite	n-B-01-WT	n-B-02-HOM-CLEAs	n-B-03-HOM	n-B-04-HOM-CLEAs	n-B-05-HOM	n-B-06-WT	n-B-07-HOM	n-B-08-WT	n-B-09-HOM-CLEAs	n-B-10-WT	n-B-11-WT	n-B-12-HOM	n-B-13-HOM	n-B-14-HOM-CLEAs	n-B-15-HOM-CLEAs	n-B-16-WT
PE 18:0_22:4 	5209482	4271396	4786746	5546065	5106948	4942177	5394512	4808083	4299993	4319228	4835537	6903016	4757213	6397046	5128625	5887716
PE 18:0_22:5 	2036303	1674156	1844219	2270420	1976804	1974374	2493536	2233080	2037746	2019069	1997731	3139546	1740873	2901732	2221014	2638597
PE 18:0_22:6 	21574114	17228338	20375788	22859404	21146424	20578720	20555260	18213862	17568538	17961770	20253580	29998088	21612246	27554596	21302719	25653604
PE 18:1_20:1 	701496	372100	427163	508836	471863	666394	448397	485792	352801	632780	504495	538286	363656	403560	409324	621510
PE 18:1_20:4 	4427204	3976105	4717926	5947382	5357550	4165563	5284512	3856603	4372746	3877598	3434037	6092858	4764354	5809840	5026518	4153714
PG 16:0_18:1 	1343205	1010750	1296183	1658716	1473318	1291995	1457058	1137002	1159438	1117901	798990	2043524	1037790	1751418	1395081	1330392
PG 16:0_20:4 	245568	174395	197981	243103	226851	218854	226397	208047	181761	189108	214554	328823	180518	297926	224296	289296
Plasmenyl-PE P-16:0_18:1 	8060020	5153502	5924070	6968390	6686358	7416542	6325098	5808618	5270844	6554538	5765862	7862836	5987857	7055174	6111978	7611088
Plasmenyl-PE P-16:0_20:3 	356885	230981	265478	307396	295458	337049	273153	247224	211115	273445	322142	411502	295241	341008	272625	336447
Plasmenyl-PE P-16:0_20:4 	5609766	4622688	5352761	6310322	6021945	5301706	5904938	4904722	4454580	4339150	5254728	8277940	5418124	7895362	5820738	6306929
Plasmenyl-PE P-16:0_22:4 	5043116	4042952	4647267	5507929	5138830	4787342	5308625	4455648	4094783	319426	321171	7067336	4844516	6611540	5064301	5594184
Plasmenyl-PE P-16:0_22:6 	13185104	11002808	12857049	15188712	14534682	12511785	14005023	11116911	10902327	10448277	12019934	19785936	13598186	18983572	14019355	14791801
Plasmenyl-PE P-17:0_18:1 	203200	85129	86297	98210	93461	183038	93038	135185	83094	156714	123762	107007	88364	100429	91716	175555
Plasmenyl-PE P-18:0_20:1 	3593758	1719423	1994233	2395189	2405231	3233346	2100009	2236121	1631301	2758365	2292784	2933652	1993521	2470419	2054083	3226270
Plasmenyl-PE P-18:0_20:3 	622580	364814	418950	493500	480337	568252	447747	429185	353005	481308	522922	643368	475184	555305	441656	535698
Plasmenyl-PE P-18:0_20:4 	10209687	8215298	9565653	11301922	10655532	9638583	10326540	8867525	8254742	8109084	9210379	14372454	10384175	13854064	10406507	10918698
Plasmenyl-PE P-18:0_22:1 	582942	216235	322797	385378	371969	490085	350557	354729	273927	422535	370455	493268	292476	405764	320326	493654
Plasmenyl-PE P-18:0_22:4 	7518364	5520778	6260822	7467600	6927912	7042684	7090094	6347512	5519131	5960996	6594776	9568184	493736	8763602	6817778	474280
Plasmenyl-PE P-18:0_22:5 	819154	679012	745121	866153	844373	800143	973031	788357	763359	736895	713655	1062029	758516	1003893	828104	838964
Plasmenyl-PE P-18:0_22:6 	19843128	16459058	19357428	22759640	21515302	19124762	20626182	16473845	276500	266712	17350894	441656	21497472	27342770	16709492	329132
Plasmenyl-PE P-18:0_24:4 	168090	309208	113279	137214	402069	344142	398080	125628	294889	135681	334923	202848	374940	555258	324142	401686
Plasmenyl-PE P-18:1_18:1 	9566147	5653005	6462746	7808430	7279580	8831765	7041425	7560628	6003549	8499890	6759937	8660262	6958616	7689414	6788600	8753996
Plasmenyl-PE P-18:1_20:1 	3713890	2080152	2422052	2943592	2746684	3432190	2615949	2827784	2169180	3306379	2586468	3366884	2584034	2820411	2503334	3329869
Plasmenyl-PE P-18:1_20:4 	7282761	5665577	6668020	8122124	7543702	6975464	7659716	6383350	6090100	6285876	6612601	10618227	7382974	9611593	7372349	7840928
Plasmenyl-PE P-18:1_22:1 	1013694	529011	522955	663109	668205	895864	622646	663556	488359	842798	694467	868084	549088	692801	593320	869367
Plasmenyl-PE P-18:1_22:6 	6127316	5427430	6299208	7464225	7151000	5732046	6983452	5376912	5658987	23218	5976599	10294034	7244383	9624293	7043734	6873768
Plasmenyl-PE P-18:2_20:4 	153142	123523	141999	189391	169058	151817	165901	125927	123674	124182	164339	265651	192802	227574	166041	158375
Plasmenyl-PE P-22:6_20:4 	146189	138511	143960	185729	177538	159241	172953	115457	92040	95133	72097	252584	96306	239937	164054	152686
Plasmenyl-PE P-22:6_22:6 	443865	274919	315515	516391	420872	371973	422964	315474	307882	298421	239000	650602	130100	327926	356780	461149
Plasmenyl-PS P-20:6_22:5 	2219570	1752975	2099796	2504699	2392668	2141021	3096990	2396461	2246918	2071794	1783290	3344846	1766280	2943597	2362047	2163010
PS 16:0_18:1 	1236730	1444626	1658938	1779985	1731337	1040415	1515804	975134	1582199	843592	796146	1858139	1280268	1773044	1644964	1057465
PS 16:0_22:6 	237229	236578	156926	414663	360441	214000	290180	187119	252107	162648	320192	557501	446969	599751	375775	290492
PS 18:0_18:1 	8216020	5847710	2474262	3208762	7115598	7265960	5987516	5387388	6525388	7229524	5160116	7361661	5482232	6997743	5644901	6136696
PS 18:0_20:4 	3580971	3140065	3779272	4852936	4545639	3318368	4447966	2774914	3422567	2366388	2763691	5885852	4327888	5336431	4188000	3317350
PS 18:0_22:4 	3921973	2814396	3396301	4160338	3846019	3773501	224375	107114	124976	126654	207758	451237	123988	396951	1874165	234977
PS 18:0_22:6 	39755556	31841042	37582648	44702504	43101644	37956820	39947992	33240766	32159088	30056990	29974918	50116296	33633736	47902420	39151264	36594004
PS 18:1_18:1 	4037059	3079644	3687113	4680594	4386538	4204896	4071624	3556892	3322108	3808992	1872677	3239868	2120344	2547002	3407337	2196860
PS 18:1_22:6 	932479	797862	996814	1266197	1246708	989934	1090834	913275	847513	799062	630146	1178798	791962	1278776	1047587	716067
PS 20:4_22:6 	167092	164910	203544	306165	282603	168408	254772	144287	186790	147583	98518	214978	156933	225233	220775	101452
PS 22:4_22:6 	991919	809434	1026901	381820	1227368	994645	1292633	844682	860984	849510	524381	1097163	706088	1014202	766610	543370
PS 22:6_22:6 	449230	504792	647210	910722	838033	383987	736421	378626	501670	380124	199566	630992	466692	577997	623795	219269
