Chains level	B1-P	B2-P	B3-P	C1-P	C2-P	C3-P	E1-P	E2-P	E3-P	A1-P	A2-P	A3-P
Label	LcS	LcS	LcS	LcS	LcS	LcS	WS	WS	WS	WS	WS	WS
Cer 36:2;3O(FA 18:1)	0	1E-05	0	0	0	0	0	4E-05	0	0.00019	0.00019	0.00014
Cer 36:2;3O(FA 18:2)	2E-05	4E-05	4E-05	0	1E-05	1E-05	4E-05	0	1E-05	0.00075	0.00081	0.00075
Cer 36:2;3O(FA 24:0)	0	0	1E-05	0	0	0	0	0	0	4E-05	4E-05	3E-05
Cer 36:4;3O(FA 18:1)	1E-05	1E-05	2E-05	2E-05	2E-05	2E-05	7E-05	6E-05	8E-05	0.00054	0.00076	0.00042
Cer 37:0;3O(FA 18:2)	6E-05	6E-05	6E-05	1E-05	3E-05	3E-05	1E-05	0	1E-05	0.00011	9E-05	8E-05
Cer 37:1;3O(FA 16:0)	0	1E-05	0	0	0	0	0	0	0	1E-05	1E-05	0
Cer 37:1;3O(FA 18:2)	0.00026	0.00028	0.00028	7E-05	7E-05	7E-05	0	0	0	0.00022	0.00023	0.00017
Cer 38:0;3O(FA 18:1)	0	0	1E-05	1E-05	1E-05	0	1E-05	0	0	0	0	1E-05
Cer 38:1;3O(FA 18:1)	0	0	0	0	0	0	2E-05	0	0	1E-05	1E-05	0
Cer 38:4;3O(FA 18:2)	0	0	0	1E-05	3E-05	0	3E-05	2E-05	3E-05	3E-05	3E-05	3E-05
Cer 39:2;3O(FA 18:2)	0	1E-05	0	0	0	0	0	0	2E-05	6E-05	0.00014	4E-05
Cer 40:0;3O(FA 18:2)	5E-05	7E-05	8E-05	3E-05	3E-05	2E-05	0	0	0	0.0001	3E-05	6E-05
Cer 40:2;3O(FA 16:0)	2E-05	3E-05	3E-05	2E-05	2E-05	3E-05	1E-05	2E-05	3E-05	0.00026	0.0004	0.00018
Cer 40:4;3O(FA 18:1)	0	0	0	0	0	0	0	0	0	6E-05	0.0001	4E-05
Cer 40:5;3O(FA 18:2)	1E-05	2E-05	0	0	0	0	0	0	0	0.00033	0.00016	0.00011
Cer 41:0;3O(FA 18:1)	0	0	0	0	0	0	0	0	0	0.00014	0	5E-05
Cer 42:0;3O(FA 18:1)	1E-05	1E-05	1E-05	3E-05	3E-05	6E-05	2E-05	2E-05	2E-05	0.00018	0.00031	0.00016
Cer 42:0;3O(FA 24:0)	0	0	0	0	0	0	0	0	0	2E-05	4E-05	1E-05
Cer 42:1;3O(FA 16:0)	3E-05	4E-05	3E-05	2E-05	3E-05	3E-05	1E-05	2E-05	5E-05	0.00017	0.00028	0.00011
Cer 42:1;3O(FA 18:1)	6E-05	0.00011	0.00011	1E-05	1E-05	1E-05	2E-05	1E-05	2E-05	6E-05	0.00015	9E-05
Cer 42:1;3O(FA 18:2)	2E-05	3E-05	2E-05	2E-05	2E-05	1E-05	1E-05	0	1E-05	4E-05	0.0002	1E-05
Cer 43:0;3O(FA 18:2)	0	0	0	0	0	0	0	0	0	0.00042	0.0003	0.00027
Cer 44:2;3O(FA 16:0)	0	0	1E-05	3E-05	3E-05	4E-05	0	0	0	8E-05	0.00016	6E-05
Cer 44:5;3O(FA 26:0)	0	0	0	0	0	0	1E-05	0	1E-05	3E-05	4E-05	3E-05
Cer 44:9;3O(FA 18:2)	3E-05	4E-05	5E-05	2E-05	3E-05	2E-05	7E-05	6E-05	0.0001	5E-05	8E-05	4E-05
Cer 45:0;3O(FA 16:0)	0	0	0	0	0	0	0	0	0	0.00028	0.00037	0.00018
Cer 45:0;3O(FA 18:1)	0	0	0	0	0	0	3E-05	1E-05	5E-05	0	9E-05	0
Cer 45:0;3O(FA 18:2)	0	0	0	1E-05	0	0	2E-05	1E-05	0	0.00014	4E-05	7E-05
Cer 45:1;3O(FA 16:0)	1E-05	0	2E-05	1E-05	1E-05	1E-05	2E-05	2E-05	1E-05	0.00067	0.00101	0.00037
Cer 45:9;3O(FA 18:2)	0.00012	0.0001	0.0001	2E-05	2E-05	0	1E-05	6E-05	5E-05	5E-05	0.00011	6E-05
Cer 47:6;3O(FA 18:2)	0	0	0	2E-05	0	0	0	0	0	2E-05	0.0001	3E-05
Cer 48:4;3O(FA 18:1)	0	0	0	0	0	0	1E-05	0	1E-05	0.00018	0.0004	0.00016
Cer 56:3;3O(FA 18:2)	0	0	0	0	0	0	0	0	0	2E-05	0	2E-05
CL 12:0_18:2_16:0_18:2	0	0	0	0	0	0	0	0	0	1E-05	1E-05	0
CL 14:0_18:0_18:0_18:2	6E-05	0.00011	8E-05	4E-05	6E-05	7E-05	2E-05	0	2E-05	3E-05	5E-05	2E-05
CL 14:1_18:1_18:1_18:2	1E-05	3E-05	3E-05	2E-05	1E-05	3E-05	0	0	0	1E-05	0	0
CL 15:0_16:0_16:0_18:1	0	0	0	0	0	0	2E-05	5E-05	2E-05	0	0	0
CL 15:0_16:0_18:2_18:3	5E-05	6E-05	5E-05	0.00015	0.00016	0.0002	5E-05	0.00014	0.00018	0.00016	0.00029	6E-05
CL 15:0_18:1_18:2_18:2	6E-05	6E-05	5E-05	4E-05	1E-05	5E-05	0	0	0	2E-05	3E-05	1E-05
CL 15:0_18:2_18:2_22:3	0.00012	0.00016	0.00012	4E-05	5E-05	9E-05	2E-05	2E-05	3E-05	2E-05	8E-05	3E-05
CL 15:0_24:0_18:1_18:2	4E-05	6E-05	4E-05	0.0001	0.00011	0.00015	2E-05	7E-05	8E-05	0.0001	0.00014	1E-05
CL 16:0_17:2_17:2_18:2	0	1E-05	1E-05	0	1E-05	0	0	1E-05	1E-05	7E-05	6E-05	2E-05
CL 16:0_18:0_18:0_16:2	0	1E-05	0	1E-05	1E-05	1E-05	8E-05	0.00017	5E-05	1E-05	1E-05	0
CL 16:0_18:1_16:0_18:1	8E-05	9E-05	0.00011	7E-05	7E-05	0.00012	1E-05	1E-05	2E-05	6E-05	9E-05	2E-05
CL 16:0_18:1_18:1_18:1	0.0001	0.00013	0.00011	5E-05	4E-05	0.0001	1E-05	0	1E-05	3E-05	4E-05	1E-05
CL 16:0_18:1_18:1_18:2	0.0001	0.00072	0.00057	0.00021	0.00034	0.0004	1E-05	1E-05	2E-05	0.00029	0.00031	8E-05
CL 16:0_18:1_18:2_22:3	3E-05	8E-05	3E-05	7E-05	2E-05	6E-05	5E-05	7E-05	7E-05	9E-05	0.00014	2E-05
CL 16:0_18:2_16:0_18:2	6E-05	9E-05	6E-05	6E-05	9E-05	0.00011	0	0	0	5E-05	4E-05	1E-05
CL 16:0_18:2_18:1_18:2	0.00057	0.00081	0.00065	0.00038	0.00044	0.0006	1E-05	2E-05	1E-05	0.00034	0.00022	0.0001
CL 16:0_18:2_18:2_18:2	0.00026	0.00048	0.00032	0.0001	0.0002	0.00017	0	1E-05	1E-05	9E-05	0.00022	7E-05
CL 16:1_18:1_16:1_18:1	0	0	0	0	0	0	0	0	0	0	1E-05	0
CL 16:1_18:1_18:1_18:2	0	0	0	0	0	0	2E-05	0	1E-05	4E-05	0.00017	2E-05
CL 16:1_18:1_18:2_18:2	0.00026	0.00025	0.00032	0.00012	0.00023	0.0003	6E-05	0.00011	0.00012	9E-05	0.00027	1E-05
CL 16:1_18:2_18:2_18:2	3E-05	6E-05	5E-05	3E-05	5E-05	5E-05	0	0	0	0	2E-05	0
CL 16:2_18:2_18:2_18:2	0.00029	0.0002	0.00048	0.00022	0.00019	0.00032	0.00017	0.00025	0.00031	0.00098	0.00013	0.00027
CL 17:0_18:0_26:0_18:1	0	1E-05	0	0	0	0	0	5E-05	1E-05	1E-05	8E-05	2E-05
CL 17:0_18:1_18:1_18:1	7E-05	0.0001	9E-05	8E-05	0.0001	0.00014	1E-05	1E-05	1E-05	0.00064	0.00093	0.00026
CL 17:2_18:2_18:2_18:2	7E-05	0.0002	0.00013	9E-05	6E-05	6E-05	0	0	0	2E-05	1E-05	1E-05
CL 18:0_16:1_18:2_22:5	0	0	2E-05	0	0	0	2E-05	3E-05	2E-05	0.00022	0.00178	6E-05
CL 18:0_18:1_18:1_18:2	4E-05	0.00016	0.00018	7E-05	1E-05	7E-05	3E-05	3E-05	8E-05	3E-05	8E-05	1E-05
CL 18:0_26:0_18:1_18:1	0.00012	0.00019	0.00018	8E-05	9E-05	0.00014	1E-05	4E-05	2E-05	0.00126	0.002	0.00049
CL 18:0_26:0_18:1_18:2	0.00012	0.0002	0.00015	4E-05	7E-05	9E-05	7E-05	0.0001	9E-05	8E-05	0.00045	7E-05
CL 18:1_18:1_18:1_18:1	0.00011	0.00013	0.0001	3E-05	4E-05	5E-05	0	0	0	4E-05	4E-05	1E-05
CL 18:1_18:1_18:1_18:2	0.00075	0.00096	0.00097	0.00021	0.00029	0.00037	0	1E-05	1E-05	0.00026	0.00035	0.00011
CL 18:1_18:1_18:2_18:2	0.00054	0.00076	1E-05	1E-05	0.00029	0.00027	0.00014	0	0.00071	0.00022	0.0011	8E-05
CL 18:1_18:2_18:1_18:2	0.00193	0.00319	0.00292	0.00087	0.00094	0.00121	3E-05	5E-05	4E-05	0.00082	0.00048	0.00036
CL 18:1_18:2_18:2_18:2	0.0015	0.00317	0.00162	0.00037	0.00059	0.0002	2E-05	3E-05	2E-05	0.00054	0.00038	0.0004
CL 18:2_18:2_18:2_18:2	0.00124	0.00149	0.00159	0.00051	0.00062	0.00077	1E-05	2E-05	2E-05	0.00035	0.00049	0.0003
CL 18:2_18:2_18:2_22:5	2E-05	2E-05	3E-05	4E-05	3E-05	5E-05	0	0	0	0	1E-05	0
CL 24:0_18:2_18:2_20:4	1E-05	1E-05	1E-05	7E-05	8E-05	0.00011	0	0	1E-05	6E-05	0.00021	4E-05
CL 24:0_18:2_18:3_20:5	2E-05	0	1E-05	2E-05	1E-05	2E-05	0	0	0	5E-05	4E-05	0
CL 26:0_18:1_18:1_18:2	0.00064	0.00092	0.00082	0.0001	0.0001	0.00017	4E-05	0.00011	9E-05	0.00127	0.00268	0.00055
CL 26:0_18:1_18:2_18:2	9E-05	3E-05	3E-05	3E-05	5E-05	5E-05	3E-05	3E-05	4E-05	6E-05	0.00024	0
CL 26:0_18:1_18:2_18:3	0.00011	0.00017	0.00016	6E-05	0.00012	0.00016	0	0	5E-05	0.00029	0.00042	0.0001
CL 28:0_18:1_18:1_18:2	0	0.00011	3E-05	3E-05	1E-05	4E-05	7E-05	6E-05	5E-05	6E-05	9E-05	2E-05
CL 29:2_36:4	0.00023	0.0003	0.00023	0.00011	0.00011	0.00011	0	1E-05	1E-05	5E-05	7E-05	3E-05
DG 15:0_18:2	0.00033	0.00041	0.00034	0.00133	0.00131	0.00143	0.00023	0.00019	0.00018	0.00067	0.00047	0.00046
DG 16:0_16:0	0.00011	4E-05	4E-05	5E-05	3E-05	4E-05	1E-05	1E-05	1E-05	6E-05	9E-05	3E-05
DG 16:0_18:0	0.00032	7E-05	9E-05	6E-05	4E-05	6E-05	1E-05	1E-05	1E-05	0.00018	0.00025	0.00018
DG 16:0_18:1	0.00014	0.00016	0.00015	0.00064	0.00056	0.00076	0.00028	0.00027	0.00025	4E-05	5E-05	7E-05
DG 16:0_24:6	0.00568	0.00195	0.00198	0.00095	0.00132	0.00082	0	0	0	0.0025	0.00353	0.00258
DG 16:1_18:1	0.00149	0.00166	0.00174	0.00336	0.00298	0.00347	0.00102	0.00085	0.00077	0.00264	0.00213	0.00219
DG 16:1_18:2	3E-05	0.00014	4E-05	0.00155	0.00146	0.00159	0.00046	0.00039	0.00037	0.00039	0.00034	0.00031
DG 17:1_18:2	2E-05	4E-05	4E-05	0.00025	0.00024	0.00028	1E-05	0	2E-05	2E-05	4E-05	3E-05
DG 17:2_18:2	1E-05	3E-05	1E-05	0.00027	0.00031	0.00033	7E-05	1E-05	5E-05	8E-05	5E-05	8E-05
DG 17:2_26:6	0.00189	0.00241	0.00211	0.006	0.00578	0.0064	0.00036	0.0003	0.00029	0.004	0.00266	0.00227
DG 18:0_18:0	0.0005	9E-05	7E-05	7E-05	5E-05	7E-05	0	1E-05	0	0.00013	0.00021	0.00013
DG 18:0_26:6	0.01024	0.00266	0.00248	0.00143	0.0013	0.00071	0	0	0	0.00692	0.00791	0.00758
DG 18:1_18:1	7E-05	7E-05	8E-05	0.00138	0.0011	0.00136	0.00035	0.00027	0.00035	0.00039	0.00018	0.0003
DG 18:1_18:2	0.00114	0.0013	0.00136	0.00931	0.00882	0.00955	0.00129	0.001	0.00092	0.00385	0.00306	0.00302
DG 18:1_24:1	1E-05	0	0	8E-05	6E-05	7E-05	4E-05	3E-05	4E-05	5E-05	5E-05	4E-05
DG 18:2_18:2	0.01519	0.01763	0.01521	0.03958	0.03757	0.04056	0.01252	0.00949	0.00905	0.03489	0.0269	0.02743
DG 18:2_18:3	0.00023	0.00029	0.00018	0.00072	0.00065	0.00071	8E-05	3E-05	8E-05	0.00048	0.00039	0.00038
DG 18:4_18:4	0.00197	0.0015	0.00174	0.00048	0.00116	0.00121	0.00485	0.00545	0.00529	0.00728	0.00571	0.00551
DG 22:3_22:4	6E-05	6E-05	5E-05	2E-05	2E-05	0	0.00105	0.00095	0.00064	0	0	0
DG 22:4_22:4	0	0	0	0.00038	0.00043	0.00036	2E-05	6E-05	0	0.00014	0.00015	0.00016
DG 26:1_18:2	0	1E-05	1E-05	0.00011	0.00011	0.00011	1E-05	0	1E-05	3E-05	3E-05	4E-05
DG O-16:0_16:1	0.00021	0.00017	0.00011	4E-05	7E-05	6E-05	3E-05	4E-05	4E-05	0.00011	0.00024	0.00014
DG O-16:3_22:3	0.00031	0.00033	0.0003	1E-05	2E-05	5E-05	0	0	0	0.00216	0.00185	0.00181
DG O-17:0_14:1	0.00029	0.00038	0.00036	6E-05	0.00022	6E-05	0.00013	0.00012	0.00012	0.00032	0.00032	0.00037
DG O-17:0_18:2	5E-05	9E-05	0.00013	1E-05	0	0	1E-05	0	1E-05	6E-05	5E-05	4E-05
DG O-18:0_14:1	0.00012	0.00015	0.00015	9E-05	0.00011	0.00011	3E-05	2E-05	3E-05	7E-05	6E-05	7E-05
DG O-19:1_14:1	0.00022	0.00022	7E-05	0.00021	0.00011	0.00021	0.00018	0.00016	0.00015	0.00018	0.00039	0.00021
DG O-19:2_18:2	1E-05	2E-05	1E-05	0	1E-05	0	0	0	0	0.00022	0.00024	0.00028
DG O-19:2_24:6	0.00018	0.00033	0.00029	9E-05	8E-05	6E-05	0	0	0	1E-05	4E-05	2E-05
DG O-21:1_14:1	0.00044	0	0	0	0	0	1E-05	0	0	0	0	0
DG O-21:1_16:1	0.00046	0	0	0	0	0	0	0.00014	0	1E-05	3E-05	0
DGDG 11:0_24:2	0	0	1E-05	4E-05	2E-05	0	0.0002	0.00015	0.00014	6E-05	0.0001	2E-05
DGDG 17:1_22:2	6E-05	9E-05	9E-05	0.00014	0.00016	0.0001	0	0	0	2E-05	1E-05	2E-05
DGDG 22:0_22:1	0	0	1E-05	8E-05	9E-05	5E-05	0	0	0	0	0	1E-05
DGTS 16:0_18:1	3E-05	4E-05	2E-05	0.00038	0.00035	0.00023	1E-05	3E-05	2E-05	0	0	0
DGTS 16:1_18:1	1E-05	0	1E-05	0.00111	0.00101	0.00084	2E-05	3E-05	7E-05	0	0	0
DGTS 18:1_18:1	0	0	1E-05	0.00202	0.00211	0.00189	0.00011	3E-05	2E-05	2E-05	1E-05	1E-05
DMPE 15:0_18:2	7E-05	9E-05	8E-05	5E-05	8E-05	7E-05	0	0	1E-05	6E-05	0.0001	2E-05
DMPE 16:0_20:1	0	0	0	0	0	0	0	0	0	0	0	0
DMPE 17:0_37:1	3E-05	2E-05	3E-05	0	0	0	0	0	0	6E-05	0.00012	2E-05
DMPE 18:0_18:2	1E-05	2E-05	1E-05	1E-05	0	0	0	0	0	0.00023	0.00058	3E-05
DMPE 18:1_18:1	3E-05	1E-05	1E-05	2E-05	2E-05	1E-05	1E-05	1E-05	1E-05	1E-05	2E-05	0
DMPE 18:1_18:2	0.00043	0.00075	0.00062	0.00032	0.00038	0.00043	7E-05	9E-05	7E-05	0.00024	0.00085	0.00019
DMPE 18:2_18:2	0.00308	0.00356	0.00305	0.00154	0.00213	0.00198	5E-05	0.0001	6E-05	0.00185	0.00306	0.00091
DMPE 18:2_18:3	3E-05	4E-05	3E-05	3E-05	3E-05	3E-05	0	1E-05	1E-05	1E-05	3E-05	1E-05
DMPE 18:2_21:2	1E-05	2E-05	2E-05	0	1E-05	1E-05	0	0	0	2E-05	4E-05	1E-05
DMPE 18:2_32:9	2E-05	3E-05	2E-05	2E-05	2E-05	1E-05	0	0	4E-05	3E-05	5E-05	2E-05
DMPE 19:1_18:2	0.00059	0.00051	0.00063	0.00036	0.00048	0.00043	0	0	0	0.00032	0.00023	0.00015
DMPE 36:1_19:2	3E-05	4E-05	4E-05	0	0	0	2E-05	0	0	0.00018	0.00019	9E-05
FA 15:0	0.00345	0.00362	0.0032	0.00246	0.00504	0.0046	0.00296	0.01053	0.00956	0.00034	0.00034	0.00019
FA 15:1	0.00014	0.00022	0.00052	0.00033	0.00037	0.00031	3E-05	7E-05	5E-05	0.00033	0.00012	0.00017
FA 15:3;O	0.00215	0.00195	0.00214	0.00212	0.00277	0.00242	0.00049	0.00055	0.00065	0.00137	0.00117	0.00065
FA 15:4	7E-05	8E-05	5E-05	9E-05	0.00011	9E-05	2E-05	6E-05	6E-05	7E-05	7E-05	2E-05
FA 16:0	0.09473	0.09964	0.0981	0.02612	0.0788	0.06879	0.03924	0.10382	0.09864	0.12441	0.04993	0.08994
FA 16:1	0.01583	0.01605	0.01667	0.01796	0.02249	0.01924	0.00408	0.01252	0.01213	0.06348	0.06329	0.0379
FA 16:2	0.00235	0.00247	0.00235	0.00109	0.00264	0.00228	0.00011	0.00033	0.00031	0.00943	0.00827	0.00501
FA 17:0	0.0042	0.00428	0.00408	0.00066	0.00174	0.00168	0.0014	0.00238	0.00319	0.00833	0.00906	0.00485
FA 18:0	0.04895	0.05111	0.05229	0.03639	0.04488	0.04008	0.00813	0.04098	0.04101	0.07378	0.0588	0.05005
FA 18:0;2O	0.00373	0.0026	0.0033	0.00044	0.00061	0.00048	0.00073	0.00095	0.00074	0.01651	0.02201	0.00846
FA 18:1	0.22568	0.24077	0.22079	0.13988	0.21863	0.18849	0.04345	0.17237	0.16506	0.14834	0.10765	0.10339
FA 18:1;(2OH)	0.00746	0.00685	0.00754	0.00482	0.00571	0.00502	0.00831	0.01241	0.01177	0.02866	0.03599	0.01451
FA 18:1;3O	0.00146	0.00115	0.00137	0.00024	0.00037	0.00031	0.00155	0.00332	0.00179	0.00565	0.00388	0.00269
FA 18:2	0.40287	0.4156	0.41262	0.07233	0.36599	0.31416	0.02978	0.22232	0.22194	0.19678	0.09663	0.12385
FA 18:2;2O	0.00185	0.00164	0.00162	0.00179	0.00273	0.00201	0.00276	0.0049	0.00172	0.0029	0.0019	0.00119
FA 18:2;O	0.06116	0.05999	0.06322	0.04267	0.05159	0.04514	0.05545	0.06607	0.06263	0.12576	0.11776	0.07481
FA 18:3	0.00473	0.00502	0.00577	0.00194	0.00261	0.00251	0.00042	0.0003	0.00041	0.01861	0.01382	0.00893
FA 18:3;4O	0.00011	0	0	0	2E-05	0	1E-05	0	0	5E-05	0.0001	5E-05
FA 18:3;O	0.00302	0.00235	0.00312	0.00211	0.00264	0.00229	0.00361	0.00383	0.0035	0.00928	0.03633	0.00469
FA 19:0	0.00027	0.00027	0.00029	0.00019	0.00022	0.00022	0.00018	0.00012	0.00022	0.00055	0.00052	0.0003
FA 19:1	0.00073	0.00074	0.00073	0.00034	0.00044	0.00038	0.00032	0.0003	0.00049	0.00431	0.00479	0.00243
FA 19:2	0.00017	0.00015	0.00014	1E-05	2E-05	3E-05	0.00013	0.00013	0.00018	0.00034	0.00039	0.00017
FA 19:3	0.00018	0.00015	0.00022	0.00038	0.00054	0.00066	0.00022	0.00082	0.00069	0.0005	0.00076	0.00026
FA 19:5	0.00017	0.00015	0.00014	4E-05	5E-05	4E-05	5E-05	6E-05	6E-05	0.00023	0.00014	6E-05
FA 2:0	0.00456	0.00436	0.00723	0.00661	0.00763	0.00839	0.00552	0.00534	0.00555	0.01104	0.01241	0.00576
FA 20:0	0.00158	0.0017	0.00171	0.00099	0.00123	0.00111	0.00182	0.00174	0.00172	0.00729	0.00778	0.00417
FA 20:1	0.00503	0.00522	0.00458	0.00094	0.00248	0.00215	0.00149	0.00212	0.00205	0.01713	0.01734	0.01003
FA 20:2	0.00563	0.00575	0.0049	0.00084	0.00306	0.00267	0.00012	0.00029	0.00038	0.01157	0.01267	0.00671
FA 20:5	3E-05	4E-05	5E-05	1E-05	0	1E-05	0	1E-05	0	0.00018	3E-05	1E-05
FA 21:0	0.00035	0.00036	0.00037	0.00016	0.00021	0.0002	0.00017	0.00031	0.0003	0.00053	0.0005	0.0003
FA 21:1	0.00025	0.00026	0.00025	0.00019	0.00022	0.00019	0.00026	0.00026	0.00026	0.00175	0.00209	0.00104
FA 21:2	0.00162	0.00155	0.00161	0.00156	0.00162	0.00124	3E-05	0.00013	0.00019	0.0003	0.00098	0.00015
FA 21:3	5E-05	4E-05	6E-05	0.00014	0.00015	0.00021	7E-05	4E-05	8E-05	0.0001	8E-05	5E-05
FA 22:0	0.00039	0.00045	0.00042	0.00018	0.00024	2E-05	0.00268	0.00282	0.00264	0.00694	0.00495	0.00379
FA 22:0;(2OH)	0.01813	0.01903	0.0179	0.00753	0.01872	0.01667	0.00202	0.00979	0.00948	0.01259	0.01145	0.00753
FA 22:1	0.00165	0.00174	0.00139	0.00129	0.00175	0.0029	0.00277	0.0027	0.00268	0.01156	0.01069	0.00584
FA 22:2	0.00049	0.00052	0.00042	0.00026	0.00014	0.00015	3E-05	5E-05	6E-05	0.00073	0.00078	0.00042
FA 22:2;3O	6E-05	7E-05	0.00016	4E-05	2E-05	6E-05	0	1E-05	3E-05	0.00041	0.00021	0.00016
FA 23:0	0.00096	0.00108	0.001	0.00065	0.00087	0.00075	0.0006	0.0014	0.00134	0.00389	0.00306	0.00227
FA 23:0;(2OH)	0.00261	0.00282	0.00244	0.00247	0.00294	0.00262	0.00047	0.00054	0.00063	0.00287	0.00401	0.0019
FA 23:1	0.00087	0.00098	0.00091	0.00095	0.00133	0.00113	0.00344	0.0039	0.00365	0.01083	0.01089	0.00643
FA 23:1;(2OH)	0.00062	0.00064	0.0007	0.00116	0.00174	0.00151	0.0001	0.00076	0.00086	0.0036	0.00513	0.00232
FA 24:0	0.00234	0.00252	0.0024	0.00089	0.00203	0.00172	0.00763	0.00867	0.00824	0.02736	0.0242	0.01699
FA 24:0;(2OH)	0.0172	0.01798	0.0178	0.0165	0.02108	0.01839	0.01123	0.01074	0.01048	0.01101	0.01968	0.01149
FA 24:1	0.00267	0.00279	0.00275	0.00217	0.00292	0.00235	0.02046	0.02227	0.02196	0.04681	0.04302	0.0298
FA 24:1;(2OH)	0.00658	0.00693	0.00612	0.00948	0.01202	0.01046	0.00536	0.01728	0.01626	0.03205	0.02852	0.01829
FA 24:1;O	1E-05	3E-05	2E-05	3E-05	2E-05	3E-05	0.00016	0.00106	0.00096	0.00035	0.00051	0.00022
FA 24:2	0.00011	0.00012	0.00012	0.00013	0.00015	0.00013	0.00026	0.00015	0.0003	0.00185	0.00174	0.00106
FA 25:0	0.00544	0.0057	0.00093	0.0084	0.00985	0.00887	0.00547	0.00659	0.01514	0.00611	0.00561	0.00371
FA 25:0;(2OH)	0.00183	0.00196	0.00194	0.00297	0.00358	0.00317	0.00092	0.0009	0.0009	0.00303	0.00319	0.00189
FA 25:0;O	0	0	0	2E-05	2E-05	2E-05	0.00014	0.00051	0.00041	0.00021	3E-05	0.00013
FA 25:1	0.00096	0.00103	0.00105	0.0015	0.00202	0.00172	0.00349	0.00466	0.00437	0.01221	0.01325	0.00761
FA 26:0	0.00015	0.00102	0.00111	0.00085	0.00114	0.00093	0.00176	0.0009	0.00232	0.00617	0.00911	0.00461
FA 26:1	0.00219	0.00234	0.00223	0.00052	0.00386	0.0033	0.01397	0.01542	0.01468	0.03449	0.03267	0.02222
FA 26:1;(2OH)	0.00132	0.00135	0.00133	0.00193	0.00372	0.00313	0.00522	0.00624	0.00602	0.00348	0.00207	0.00343
FA 26:1;O	0	0.00135	0	0.00101	0.00363	0.00307	0.00067	0.0059	0.00574	0.00079	0.00099	0.00046
FA 26:2	2E-05	2E-05	2E-05	4E-05	7E-05	5E-05	5E-05	5E-05	6E-05	0.00048	0.00047	0.00029
FA 26:2;O	0	0	0	0	0	1E-05	1E-05	2E-05	2E-05	7E-05	2E-05	0
FA 26:5	0	0	0	0	0	0	0	0	0	6E-05	0.0001	1E-05
FA 26:6	0.0002	0.00035	0.00027	7E-05	0.00029	4E-05	4E-05	4E-05	2E-05	0.00239	0.00221	0.00091
FA 27:0	4E-05	5E-05	8E-05	1E-05	7E-05	7E-05	0.0001	7E-05	0.00011	0.0001	0.00015	9E-05
FA 27:1	0	0	0	0	0	0	2E-05	1E-05	2E-05	2E-05	4E-05	2E-05
FA 28:0	6E-05	5E-05	7E-05	0.00028	0.00045	0.0004	0.00024	0.00016	0.00025	0.00012	0.00014	0.0001
FA 28:1	2E-05	2E-05	2E-05	1E-05	1E-05	1E-05	2E-05	2E-05	3E-05	0.0001	0.00016	7E-05
FA 28:5	2E-05	4E-05	3E-05	5E-05	2E-05	1E-05	0.00023	3E-05	3E-05	0.0004	0.0009	0.00024
FA 28:6	0.0001	0.00011	0.00011	0.00019	0.00024	0.0002	6E-05	0.0001	0.0001	7E-05	9E-05	3E-05
FA 28:7	0.00281	0.00344	0.00295	0.00155	0.00214	0.0021	0.00096	0.00116	0.0013	0.00615	0.00555	0.0033
FA 30:0	9E-05	4E-05	6E-05	0.00039	0.00053	0.00044	0.00019	0.00016	0.00017	8E-05	0.00015	6E-05
FA 30:4	9E-05	0.00011	0.0001	7E-05	0.00012	5E-05	0.0001	9E-05	7E-05	1E-05	0.00011	6E-05
FA 30:5	0	2E-05	3E-05	1E-05	0	6E-05	6E-05	0.00011	0.00011	0.00012	0.00016	9E-05
FA 32:0	5E-05	3E-05	4E-05	0.00045	0.00061	0.00044	0.00016	0.00016	0.00013	6E-05	3E-05	4E-05
FA 32:3	0.00163	0.00179	0.00176	0.00114	0.00177	0.00158	0.00193	0.00196	0.00189	0.00235	0.00268	0.00156
FA 32:6	0.00058	0.00064	0.00051	0.00031	0.00075	0.00056	3E-05	0.0003	0.00042	0.00036	0.0007	0.00046
FA 32:7	4E-05	8E-05	3E-05	1E-05	6E-05	9E-05	4E-05	5E-05	5E-05	3E-05	3E-05	3E-05
FA 32:8	0.00069	0.0006	0.00073	0.00034	0.00042	0.00034	0.0003	0.00032	0.0002	0.00049	0.00049	0.00026
FA 32:9	0.00045	0.00049	0.00036	0.00037	0.00047	0.00042	0.00064	0.00102	0.00091	0.00085	0.00064	0.00026
FA 33:0	1E-05	1E-05	1E-05	0	1E-05	1E-05	2E-05	2E-05	2E-05	1E-05	1E-05	1E-05
FA 34:7	3E-05	3E-05	3E-05	3E-05	7E-05	6E-05	2E-05	9E-05	7E-05	0.0001	8E-05	0.00015
FA 34:8	2E-05	2E-05	2E-05	3E-05	3E-05	3E-05	0	0	0	4E-05	3E-05	2E-05
FA 35:0	1E-05	1E-05	0	0	1E-05	0	1E-05	1E-05	1E-05	1E-05	0	0
FA 36:3	0.00231	0.00243	0.00249	0.00133	0.00235	0.00214	0.00111	0.00106	0.00102	0.00142	0.0013	0.0011
FA 36:4	2E-05	2E-05	2E-05	1E-05	2E-05	2E-05	1E-05	1E-05	1E-05	2E-05	1E-05	1E-05
FA 36:8	5E-05	6E-05	4E-05	0.00078	0.0017	0.00145	0	0	0	2E-05	2E-05	1E-05
